"date","ticker","sector","company","adjusted_price"
2018-12-14,"MCD","Consumer","McDonald's Corporation",153.864685058594
2018-12-14,"MSFT","Technology","Microsoft Corporation",98.7667999267578
2018-12-14,"NVDA","Technology","NVIDIA Corporation",3.62636590003967
2018-12-14,"WFC","Financials","Wells Fargo & Company",37.9314193725586
2018-12-14,"XOM","Energy","Exxon Mobil Corporation",53.8622741699219
2018-12-17,"AAPL","Technology","Apple Inc.",38.8975524902344
2018-12-17,"AMZN","Consumer","Amazon.com, Inc.",76.0455017089844
2018-12-17,"BAC","Financials","Bank of America Corporation",20.4277591705322
2018-12-17,"COP","Energy","ConocoPhillips",48.8310623168945
2018-12-17,"CVX","Energy","Chevron Corporation",81.1426620483398
2018-12-17,"HD","Consumer","The Home Depot, Inc.",139.444183349609
2018-12-17,"JPM","Financials","JPMorgan Chase & Co.",80.2308731079102
2018-12-17,"MCD","Consumer","McDonald's Corporation",151.765991210938
2018-12-17,"MSFT","Technology","Microsoft Corporation",95.8418884277344
2018-12-17,"NVDA","Technology","NVIDIA Corporation",3.5552990436554
2018-12-17,"WFC","Financials","Wells Fargo & Company",37.9884719848633
2018-12-17,"XOM","Energy","Exxon Mobil Corporation",52.7647895812988
2018-12-18,"AAPL","Technology","Apple Inc.",39.4029273986816
2018-12-18,"AMZN","Consumer","Amazon.com, Inc.",77.5739974975586
2018-12-18,"BAC","Financials","Bank of America Corporation",20.4277591705322
2018-12-18,"COP","Energy","ConocoPhillips",47.8949775695801
2018-12-18,"CVX","Energy","Chevron Corporation",79.1871643066406
2018-12-18,"HD","Consumer","The Home Depot, Inc.",141.162719726562
2018-12-18,"JPM","Financials","JPMorgan Chase & Co.",79.8500366210938
2018-12-18,"MCD","Consumer","McDonald's Corporation",150.859405517578
2018-12-18,"MSFT","Technology","Microsoft Corporation",96.8479080200195
2018-12-18,"NVDA","Technology","NVIDIA Corporation",3.63849925994873
2018-12-18,"WFC","Financials","Wells Fargo & Company",37.915111541748
2018-12-18,"XOM","Energy","Exxon Mobil Corporation",51.3109664916992
2018-12-19,"AAPL","Technology","Apple Inc.",38.1738891601562
2018-12-19,"AMZN","Consumer","Amazon.com, Inc.",74.7539978027344
2018-12-19,"BAC","Financials","Bank of America Corporation",20.1856651306152
2018-12-19,"COP","Energy","ConocoPhillips",47.407585144043
2018-12-19,"CVX","Energy","Chevron Corporation",77.8089141845703
2018-12-19,"HD","Consumer","The Home Depot, Inc.",139.10383605957
2018-12-19,"JPM","Financials","JPMorgan Chase & Co.",78.8371200561523
2018-12-19,"MCD","Consumer","McDonald's Corporation",150.397735595703
2018-12-19,"MSFT","Technology","Microsoft Corporation",96.5870971679688
2018-12-19,"NVDA","Technology","NVIDIA Corporation",3.42975664138794
2018-12-19,"WFC","Financials","Wells Fargo & Company",37.2223243713379
2018-12-19,"XOM","Energy","Exxon Mobil Corporation",50.4415397644043
2018-12-20,"AAPL","Technology","Apple Inc.",37.2105827331543
2018-12-20,"AMZN","Consumer","Amazon.com, Inc.",73.0414962768555
2018-12-20,"BAC","Financials","Bank of America Corporation",20.1272354125977
2018-12-20,"COP","Energy","ConocoPhillips",46.417350769043
2018-12-20,"CVX","Energy","Chevron Corporation",75.7524108886719
2018-12-20,"HD","Consumer","The Home Depot, Inc.",136.281265258789
2018-12-20,"JPM","Financials","JPMorgan Chase & Co.",78.1564331054688
2018-12-20,"MCD","Consumer","McDonald's Corporation",145.797500610352
2018-12-20,"MSFT","Technology","Microsoft Corporation",94.5564193725586
2018-12-20,"NVDA","Technology","NVIDIA Corporation",3.34531879425049
2018-12-20,"WFC","Financials","Wells Fargo & Company",37.5238990783691
2018-12-20,"XOM","Energy","Exxon Mobil Corporation",48.9093246459961
2018-12-21,"AAPL","Technology","Apple Inc.",35.7632598876953
2018-12-21,"AMZN","Consumer","Amazon.com, Inc.",68.8724975585938
2018-12-21,"BAC","Financials","Bank of America Corporation",19.5094718933105
2018-12-21,"COP","Energy","ConocoPhillips",46.2626419067383
2018-12-21,"CVX","Energy","Chevron Corporation",75.1967620849609
2018-12-21,"HD","Consumer","The Home Depot, Inc.",133.226211547852
2018-12-21,"JPM","Financials","JPMorgan Chase & Co.",76.3088836669922
2018-12-21,"MCD","Consumer","McDonald's Corporation",146.192001342773
2018-12-21,"MSFT","Technology","Microsoft Corporation",91.501106262207
2018-12-21,"NVDA","Technology","NVIDIA Corporation",3.20838642120361
2018-12-21,"WFC","Financials","Wells Fargo & Company",36.7740669250488
2018-12-21,"XOM","Energy","Exxon Mobil Corporation",48.5458831787109
2018-12-24,"AAPL","Technology","Apple Inc.",34.8379211425781
2018-12-24,"AMZN","Consumer","Amazon.com, Inc.",67.197998046875
2018-12-24,"BAC","Financials","Bank of America Corporation",18.9751968383789
2018-12-24,"COP","Energy","ConocoPhillips",44.1042251586914
2018-12-24,"CVX","Energy","Chevron Corporation",72.8732528686523
2018-12-24,"HD","Consumer","The Home Depot, Inc.",131.283584594727
2018-12-24,"JPM","Financials","JPMorgan Chase & Co.",74.6639022827148
2018-12-24,"MCD","Consumer","McDonald's Corporation",142.943267822266
2018-12-24,"MSFT","Technology","Microsoft Corporation",87.6819686889648
2018-12-24,"NVDA","Technology","NVIDIA Corporation",3.14672875404358
2018-12-24,"WFC","Financials","Wells Fargo & Company",35.5352249145508
2018-12-24,"XOM","Energy","Exxon Mobil Corporation",46.6858673095703
2018-12-26,"AAPL","Technology","Apple Inc.",37.2912635803223
2018-12-26,"AMZN","Consumer","Amazon.com, Inc.",73.5449981689453
2018-12-26,"BAC","Financials","Bank of America Corporation",20.1272354125977
2018-12-26,"COP","Energy","ConocoPhillips",47.5777969360352
2018-12-26,"CVX","Energy","Chevron Corporation",77.4914169311523
2018-12-26,"HD","Consumer","The Home Depot, Inc.",139.701538085938
2018-12-26,"JPM","Financials","JPMorgan Chase & Co.",77.7593688964844
2018-12-26,"MCD","Consumer","McDonald's Corporation",146.091293334961
2018-12-26,"MSFT","Technology","Microsoft Corporation",93.671501159668
2018-12-26,"NVDA","Technology","NVIDIA Corporation",3.29579591751099
2018-12-26,"WFC","Financials","Wells Fargo & Company",37.1571273803711
2018-12-26,"XOM","Energy","Exxon Mobil Corporation",48.9164581298828
2018-12-27,"AAPL","Technology","Apple Inc.",37.049243927002
2018-12-27,"AMZN","Consumer","Amazon.com, Inc.",73.0820007324219
2018-12-27,"BAC","Financials","Bank of America Corporation",20.3442821502686
2018-12-27,"COP","Energy","ConocoPhillips",48.1425323486328
2018-12-27,"CVX","Energy","Chevron Corporation",78.8841018676758
2018-12-27,"HD","Consumer","The Home Depot, Inc.",141.395126342773
2018-12-27,"JPM","Financials","JPMorgan Chase & Co.",78.6345443725586
2018-12-27,"MCD","Consumer","McDonald's Corporation",147.501586914062
2018-12-27,"MSFT","Technology","Microsoft Corporation",94.2490463256836
2018-12-27,"NVDA","Technology","NVIDIA Corporation",3.24800491333008
2018-12-27,"WFC","Financials","Wells Fargo & Company",37.1082229614258
2018-12-27,"XOM","Energy","Exxon Mobil Corporation",49.1302604675293
2018-12-28,"AAPL","Technology","Apple Inc.",37.0682258605957
2018-12-28,"AMZN","Consumer","Amazon.com, Inc.",73.9010009765625
2018-12-28,"BAC","Financials","Bank of America Corporation",20.3609771728516
2018-12-28,"COP","Energy","ConocoPhillips",47.7093086242676
2018-12-28,"CVX","Energy","Chevron Corporation",78.4006271362305
2018-12-28,"HD","Consumer","The Home Depot, Inc.",141.312072753906
2018-12-28,"JPM","Financials","JPMorgan Chase & Co.",78.4643630981445
2018-12-28,"MCD","Consumer","McDonald's Corporation",147.375625610352
2018-12-28,"MSFT","Technology","Microsoft Corporation",93.5131530761719
2018-12-28,"NVDA","Technology","NVIDIA Corporation",3.30941438674927
2018-12-28,"WFC","Financials","Wells Fargo & Company",37.3119773864746
2018-12-28,"XOM","Energy","Exxon Mobil Corporation",48.5815124511719
2018-12-31,"AAPL","Technology","Apple Inc.",37.4264984130859
2018-12-31,"AMZN","Consumer","Amazon.com, Inc.",75.098503112793
2018-12-31,"BAC","Financials","Bank of America Corporation",20.5696792602539
2018-12-31,"COP","Energy","ConocoPhillips",48.2353744506836
2018-12-31,"CVX","Energy","Chevron Corporation",78.5016784667969
2018-12-31,"HD","Consumer","The Home Depot, Inc.",142.640426635742
2018-12-31,"JPM","Financials","JPMorgan Chase & Co.",79.1045227050781
2018-12-31,"MCD","Consumer","McDonald's Corporation",149.063003540039
2018-12-31,"MSFT","Technology","Microsoft Corporation",94.6123123168945
2018-12-31,"NVDA","Technology","NVIDIA Corporation",3.3057005405426
2018-12-31,"WFC","Financials","Wells Fargo & Company",37.5564880371094
2018-12-31,"XOM","Energy","Exxon Mobil Corporation",48.5957717895508
2019-01-02,"AAPL","Technology","Apple Inc.",37.4692153930664
